Date,season,month,site,transect,grass.nograss,temp,ph,sal,par,do,sample,dist.from.shore,ent_count,geom_mean,notes,,
2/16/2020,winter,February,Alki,A,1,8.7,8.91,30.74,44.3,9.48,1,1,1,1.166666667,,,
2/16/2020,winter,February,Alki,A,1,8.7,8.91,30.74,44.3,9.48,2,20,2,,,,
2/16/2020,winter,February,Alki,A,1,8.7,8.91,30.74,44.3,9.48,3,40,2,,,,62.4
2/16/2020,winter,February,Alki,A,1,8.7,8.91,30.74,44.3,9.48,4,60,0,,,,
2/16/2020,winter,February,Alki,A,1,8.7,8.91,30.74,44.3,9.48,5,80,1,,,,
2/16/2020,winter,February,Alki,A,1,8.7,8.91,30.74,44.3,9.48,6,100,1,,,,
2/16/2020,winter,February,Alki,B,1,8.7,8.91,30.74,44.3,9.48,1,1,4,2.833333333,,,
2/16/2020,winter,February,Alki,B,1,8.7,8.91,30.74,44.3,9.48,2,20,0,,,,
2/16/2020,winter,February,Alki,B,1,8.7,8.91,30.74,44.3,9.48,3,40,0,,,,
2/16/2020,winter,February,Alki,B,1,8.7,8.91,30.74,44.3,9.48,4,60,12,,,,
2/16/2020,winter,February,Alki,B,1,8.7,8.91,30.74,44.3,9.48,5,80,1,,,,
2/16/2020,winter,February,Alki,B,1,8.7,8.91,30.74,44.3,9.48,6,100,0,,,,
2/16/2020,winter,February,Alki,C,1,8.7,8.91,30.74,44.3,9.48,1,1,1,1.6,,,
2/16/2020,winter,February,Alki,C,1,8.7,8.91,30.74,44.3,9.48,2,20,,,,,
2/16/2020,winter,February,Alki,C,1,8.7,8.91,30.74,44.3,9.48,3,40,4,,,,
2/16/2020,winter,February,Alki,C,1,8.7,8.91,30.74,44.3,9.48,4,60,2,,,,
2/16/2020,winter,February,Alki,C,1,8.7,8.91,30.74,44.3,9.48,5,80,1,,,,
2/16/2020,winter,February,Alki,C,1,8.7,8.91,30.74,44.3,9.48,6,100,0,,,,
2/16/2020,winter,February,Alki,D,0,8.7,8.91,30.74,33.5,9.48,1,1,4,1.166666667,,,
2/16/2020,winter,February,Alki,D,0,8.7,8.91,30.74,33.5,9.48,2,20,0,,,,
2/16/2020,winter,February,Alki,D,0,8.7,8.91,30.74,33.5,9.48,3,40,0,,,,
2/16/2020,winter,February,Alki,D,0,8.7,8.91,30.74,33.5,9.48,4,60,1,,,,
2/16/2020,winter,February,Alki,D,0,8.7,8.91,30.74,33.5,9.48,5,80,0,,,,
2/16/2020,winter,February,Alki,D,0,8.7,8.91,30.74,33.5,9.48,6,100,2,,,,
2/16/2020,winter,February,Alki,E,0,8.7,8.91,30.74,33.5,9.48,1,1,3,1.5,,,
2/16/2020,winter,February,Alki,E,0,8.7,8.91,30.74,33.5,9.48,2,20,0,,,,
2/16/2020,winter,February,Alki,E,0,8.7,8.91,30.74,33.5,9.48,3,40,0,,,,
2/16/2020,winter,February,Alki,E,0,8.7,8.91,30.74,33.5,9.48,4,60,0,,,,
2/16/2020,winter,February,Alki,E,0,8.7,8.91,30.74,33.5,9.48,5,80,5,,,,
2/16/2020,winter,February,Alki,E,0,8.7,8.91,30.74,33.5,9.48,6,100,1,,,,
2/16/2020,winter,February,Alki,F,0,8.7,8.91,30.74,33.5,9.48,1,1,2,1.4,,,
2/16/2020,winter,February,Alki,F,0,8.7,8.91,30.74,33.5,9.48,2,20,4,,,,
2/16/2020,winter,February,Alki,F,0,8.7,8.91,30.74,33.5,9.48,3,40,0,,,,
2/16/2020,winter,February,Alki,F,0,8.7,8.91,30.74,33.5,9.48,4,60,,,,,
2/16/2020,winter,February,Alki,F,0,8.7,8.91,30.74,33.5,9.48,5,80,1,,,,
2/16/2020,winter,February,Alki,F,0,8.7,8.91,30.74,33.5,9.48,6,100,0,,,,
2/16/2020,winter,February,smithcove,A,1,8.7,8.27,31.05,37.8,10.1,1,1,30,25.16666667,,,
2/16/2020,winter,February,smithcove,A,1,8.7,8.27,31.05,37.8,10.1,2,20,8,,,,
2/16/2020,winter,February,smithcove,A,1,8.7,8.27,31.05,37.8,10.1,3,40,25,,,,
2/16/2020,winter,February,smithcove,A,1,8.7,8.27,31.05,37.8,10.1,4,60,32,,,,
2/16/2020,winter,February,smithcove,A,1,8.7,8.27,31.05,37.8,10.1,5,80,27,,,,
2/16/2020,winter,February,smithcove,A,1,8.7,8.27,31.05,37.8,10.1,6,100,29,,,,
2/16/2020,winter,February,smithcove,B,1,8.7,8.27,31.05,37.8,10.1,1,1,18,21.66666667,,,
2/16/2020,winter,February,smithcove,B,1,8.7,8.27,31.05,37.8,10.1,2,20,23,,,,
2/16/2020,winter,February,smithcove,B,1,8.7,8.27,31.05,37.8,10.1,3,40,22,,,,
2/16/2020,winter,February,smithcove,B,1,8.7,8.27,31.05,37.8,10.1,4,60,24,,,,
2/16/2020,winter,February,smithcove,B,1,8.7,8.27,31.05,37.8,10.1,5,80,31,,,,
2/16/2020,winter,February,smithcove,B,1,8.7,8.27,31.05,37.8,10.1,6,100,12,,,,
2/16/2020,winter,February,smithcove,C,1,8.7,8.27,31.05,37.8,10.1,1,1,17,26.66666667,,,
2/16/2020,winter,February,smithcove,C,1,8.7,8.27,31.05,37.8,10.1,2,20,19,,,,
2/16/2020,winter,February,smithcove,C,1,8.7,8.27,31.05,37.8,10.1,3,40,24,,,,
2/16/2020,winter,February,smithcove,C,1,8.7,8.27,31.05,37.8,10.1,4,60,51,,,,
2/16/2020,winter,February,smithcove,C,1,8.7,8.27,31.05,37.8,10.1,5,80,38,,,,
2/16/2020,winter,February,smithcove,C,1,8.7,8.27,31.05,37.8,10.1,6,100,11,,,,
2/16/2020,winter,February,smithcove,D,1,8.7,8.27,31.05,37.8,10.1,1,1,25,26,,,
2/16/2020,winter,February,smithcove,D,0,8.7,8.27,31.05,37.8,10.1,2,20,26,,,,
2/16/2020,winter,February,smithcove,D,0,8.7,8.27,31.05,37.8,10.1,3,40,38,,,,
2/16/2020,winter,February,smithcove,D,0,8.7,8.27,31.05,37.8,10.1,4,60,34,,,,
2/16/2020,winter,February,smithcove,D,0,8.7,8.27,31.05,37.8,10.1,5,80,15,,,,
2/16/2020,winter,February,smithcove,D,0,8.7,8.27,31.05,37.8,10.1,6,100,18,,,,
2/16/2020,winter,February,smithcove,E,0,8.7,8.27,31.05,37.8,10.1,1,1,29,38.66666667,,,
2/16/2020,winter,February,smithcove,E,0,8.7,8.27,31.05,37.8,10.1,2,20,74,,a lot!!,,
2/16/2020,winter,February,smithcove,E,0,8.7,8.27,31.05,37.8,10.1,3,40,40,,,,
2/16/2020,winter,February,smithcove,E,0,8.7,8.27,31.05,37.8,10.1,4,60,43,,,,
2/16/2020,winter,February,smithcove,E,0,8.7,8.27,31.05,37.8,10.1,5,80,23,,,,
2/16/2020,winter,February,smithcove,E,0,8.7,8.27,31.05,37.8,10.1,6,100,23,,,,
2/16/2020,winter,February,smithcove,F,0,8.7,8.27,31.05,37.8,10.1,1,1,45,39.5,,,
2/16/2020,winter,February,smithcove,F,0,8.7,8.27,31.05,37.8,10.1,2,20,41,,,,
2/16/2020,winter,February,smithcove,F,0,8.7,8.27,31.05,37.8,10.1,3,40,67,,,,
2/16/2020,winter,February,smithcove,F,0,8.7,8.27,31.05,37.8,10.1,4,60,30,,,,
2/16/2020,winter,February,smithcove,F,0,8.7,8.27,31.05,37.8,10.1,5,80,25,,,,
2/16/2020,winter,February,smithcove,F,0,8.7,8.27,31.05,37.8,10.1,6,100,29,,,,
2/20/2020,winter,February,Disc,A,1,8.7,8.93,28.12,40.9,10.8,1,1,28,6.5,changed light meter,,
2/20/2020,winter,February,Disc,A,1,8.7,8.93,28.12,40.9,10.8,2,20,4,,,,
2/20/2020,winter,February,Disc,A,1,8.7,8.93,28.12,40.9,10.8,3,40,4,,,,
2/20/2020,winter,February,Disc,A,1,8.7,8.93,28.12,40.9,10.8,4,60,2,,,,
2/20/2020,winter,February,Disc,A,1,8.7,8.93,28.12,40.9,10.8,5,80,0,,,,
2/20/2020,winter,February,Disc,A,1,8.7,8.93,28.12,40.9,10.8,6,100,1,,,,
2/20/2020,winter,February,Disc,B,1,8.7,8.93,28.12,40.9,10.8,1,1,14,6,,,
2/20/2020,winter,February,Disc,B,1,8.7,8.93,28.12,40.9,10.8,2,20,12,,,,
2/20/2020,winter,February,Disc,B,1,8.7,8.93,28.12,40.9,10.8,3,40,3,,,,
2/20/2020,winter,February,Disc,B,1,8.7,8.93,28.12,40.9,10.8,4,60,0,,,,
2/20/2020,winter,February,Disc,B,1,8.7,8.93,28.12,40.9,10.8,5,80,1,,,,
2/20/2020,winter,February,Disc,B,1,8.7,8.93,28.12,40.9,10.8,6,100,6,,,,
2/20/2020,winter,February,Disc,C,1,8,8.94,27,23.3,9.24,1,1,4,2.5,,,
2/20/2020,winter,February,Disc,C,1,8,8.94,27,23.3,9.24,2,20,1,,,,
2/20/2020,winter,February,Disc,C,1,8,8.94,27,23.3,9.24,3,40,1,,,,
2/20/2020,winter,February,Disc,C,1,8,8.94,27,23.3,9.24,4,60,0,,,,
2/20/2020,winter,February,Disc,C,1,8,8.94,27,23.3,9.24,5,80,4,,,,
2/20/2020,winter,February,Disc,C,1,8,8.94,27,23.3,9.24,6,100,5,,,,
2/20/2020,winter,February,Disc,D,1,8,8.94,27,23.3,9.24,1,1,2,1.333333333,,,
2/20/2020,winter,February,Disc,D,0,8,8.94,27,23.3,9.24,2,20,0,,,,
2/20/2020,winter,February,Disc,D,0,8,8.94,27,23.3,9.24,3,40,0,,,,
2/20/2020,winter,February,Disc,D,0,8,8.94,27,23.3,9.24,4,60,0,,,,
2/20/2020,winter,February,Disc,D,0,8,8.94,27,23.3,9.24,5,80,0,,,,
2/20/2020,winter,February,Disc,D,0,8,8.94,27,23.3,9.24,6,100,6,,,,
2/20/2020,winter,February,Disc,E,0,8.1,8.1,26.7,23,9.5,1,1,14,9.833333333,,,
2/20/2020,winter,February,Disc,E,0,8.1,8.1,26.7,23,9.5,2,20,5,,,,
2/20/2020,winter,February,Disc,E,0,8.1,8.1,26.7,23,9.5,3,40,10,,,,
2/20/2020,winter,February,Disc,E,0,8.1,8.1,26.7,23,9.5,4,60,0,,,,
2/20/2020,winter,February,Disc,E,0,8.1,8.1,26.7,23,9.5,5,80,0,,,,
2/20/2020,winter,February,Disc,E,0,8.1,8.1,26.7,23,9.5,6,100,30,,,,
2/20/2020,winter,February,Disc,F,0,8.1,8.1,26.7,23,9.5,1,1,5,4.166666667,,,
2/20/2020,winter,February,Disc,F,0,8.1,8.1,26.7,23,9.5,2,20,0,,,,
2/20/2020,winter,February,Disc,F,0,8.1,8.1,26.7,23,9.5,3,40,0,,,,
2/20/2020,winter,February,Disc,F,0,8.1,8.1,26.7,23,9.5,4,60,0,,,,
2/20/2020,winter,February,Disc,F,0,8.1,8.1,26.7,23,9.5,5,80,1,,,,
2/20/2020,winter,February,Disc,F,0,8.1,8.1,26.7,23,9.5,6,100,19,,,,
2/20/2020,winter,February,GG,A,1,8.2,8.61,26.15,62.4,11.62,1,1,12,5.5,,,
2/20/2020,winter,February,GG,A,1,8.2,8.61,26.15,62.4,11.62,2,20,3,,,,
2/20/2020,winter,February,GG,A,1,8.2,8.61,26.15,62.4,11.62,3,40,0,,,,
2/20/2020,winter,February,GG,A,1,8.2,8.61,26.15,62.4,11.62,4,60,2,,,,
2/20/2020,winter,February,GG,A,1,8.2,8.61,26.15,62.4,11.62,5,80,12,,,,
2/20/2020,winter,February,GG,A,1,8.2,8.61,26.15,62.4,11.62,6,100,4,,,,
